awavelength,cwavelength,ats1,cts1,bts1,asv,a_spec,aflat,ats3,cts3,bts3,asv,a_spec,aflat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643.5,647.1,0.037403703,0.536840236,0.502821324,0.100645199,0.036323703,0.088102641,0.653047117,2.071245092,1.421377377,0.186842601,0.651967117,0.139261494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648.1,651.6,0.033078692,0.532544969,0.501327199,0.096132268,0.032268692,0.08377763,0.648984547,2.0586437,1.411761826,0.185933883,0.648174547,0.135198924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652.7,656.2,0.030632908,0.532230104,0.503035795,0.093901379,0.029973908,0.081331846,0.646221034,2.04456695,1.398573312,0.187496134,0.645562034,0.13243541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657.5,661.1,0.028659973,0.529908097,0.501249058,0.09170372,0.027779973,0.079358911,0.645909176,2.032409586,1.382982773,0.192297893,0.645029176,0.132123552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661.9,665,0.028658831,0.528239383,0.499196189,0.091444382,0.027438831,0.079357769,0.65020851,2.019840642,1.365696596,0.202267005,0.64898851,0.136422886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.2,669.8,0.02919198,0.518180683,0.489688777,0.090781753,0.02833898,0.079890918,0.65566748,2.011342765,1.351739759,0.212303747,0.65481448,0.141881856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670.6,673.9,0.028336334,0.521124688,0.494418034,0.090520921,0.027828334,0.079035272,0.660477568,2.001840299,1.342145367,0.220260746,0.659969568,0.146691944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674.7,678.6,0.026311579,0.514582269,0.492442721,0.088247724,0.026336079,0.077010517,0.659505202,1.995294806,1.340687257,0.219766633,0.659529702,0.145719579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.4,682.5,0.021283747,0.512066418,0.492865284,0.083273039,0.021353747,0.071982685,0.653602902,1.986446036,1.341051625,0.213744822,0.653672902,0.139817279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683.7,686.8,0.018394961,0.512745525,0.500198691,0.0813066,0.018464961,0.069093899,0.642216932,1.97644834,1.348007393,0.200077395,0.642286932,0.128431308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
