SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	12.1200000000	4.9800000000	14.9700000000	36.5000000000	39.5653323056	7.8089097790	-0.2296847194	0.2385864517	34864	17.3507424383	97	333.8700000000	0	2017-198	18:05:59.738
0068	11.9700000000	4.9800000000	15.0000000000	36.0000000000	39.5806240645	7.8151719360	-0.1707694010	0.4156157466	34863	17.3507424383	98	333.9800000000	0	2017-198	18:05:59.738
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5882700989	7.8276962500	-0.1345149336	0.6105456430	34863	17.3438234024	99	334.0900000000	0	2017-198	18:05:59.848
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5959162370	7.8339584070	-0.1345149336	0.8769831017	34863	17.3553551205	100	334.1800000000	0	2017-198	18:06:00.050
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.5959162370	7.8402205640	-0.1586844843	1.1658557852	34864	17.3691931280	101	334.2900000000	0	2017-198	18:06:00.050
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.5882700989	7.8402205640	-0.2070247165	1.5084793427	34863	17.3761121104	102	334.4000000000	0	2017-198	18:06:00.160
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.5959162370	7.8402205640	-0.2614092801	1.7260527986	34862	17.3784184347	103	334.5000000000	0	2017-198	18:06:00.347
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.5997393449	7.8527448780	-0.3354357802	1.9526352732	34862	17.3645804653	104	334.6000000000	0	2017-198	18:06:00.347
0068	12.0600000000	4.9500000000	14.9700000000	36.0000000000	39.5997393449	7.8590070350	-0.4819884619	2.3493206491	34862	17.3576614592	105	334.7600000000	0	2017-198	18:06:00.518
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.6035624785	7.8715313490	-0.5756685677	2.5596794245	34862	17.3599677962	106	334.9100000000	0	2017-198	18:06:00.659
0068	12.0600000000	4.9800000000	15.0000000000	36.5000000000	39.5997393449	7.8777935060	-0.6058891641	2.6044442717	34862	17.3599677962	107	335.0000000000	0	2017-198	18:06:00.752
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5959162370	7.8652691920	-0.6089112561	2.5835536752	34862	17.3622741315	108	335.1000000000	0	2017-198	18:06:00.924
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.6073856378	7.8715313490	-0.5953118884	2.4865692881	34862	17.3645804653	109	335.2000000000	0	2017-198	18:06:00.955
0068	12.0600000000	4.9800000000	15.0000000000	36.0000000000	39.5997393449	7.8777935060	-0.5696245191	2.3373871795	34862	17.3668867975	110	335.3100000000	0	2017-198	18:06:01.064
0068	12.0600000000	4.9800000000	15.0000000000	36.5000000000	39.6035624785	7.8965799770	-0.5394046295	2.1688473408	34861	17.3668867975	111	335.4100000000	0	2017-198	18:06:01.267
0068	12.0600000000	4.9800000000	15.0000000000	36.0000000000	39.5959162370	7.8965799770	-0.4925649646	1.9347446742	34861	17.3691931280	112	335.5200000000	0	2017-198	18:06:01.267
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5806240645	7.9091042910	-0.3837815253	1.4354723835	34861	17.3668867975	113	335.6700000000	0	2017-198	18:06:01.439
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.5882700989	7.9153664480	-0.2598985720	0.9261133043	34861	17.3553551205	114	335.8200000000	0	2017-198	18:06:01.579
0068	12.0000000000	4.9800000000	14.9700000000	36.5000000000	39.5920931550	7.9216286050	-0.1722800222	0.5911991640	34860	17.3553551205	115	335.9200000000	0	2017-198	18:06:01.782
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.5882700989	7.9341529190	-0.0786242913	0.2489987688	34860	17.3553551205	116	336.0200000000	0	2017-198	18:06:01.782
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.5806240645	7.9592015470	0.0059631168	-0.0514121300	34860	17.3530487802	117	336.1300000000	0	2017-198	18:06:01.891
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5844470688	7.9466772330	0.0452342724	-0.1733263311	34860	17.3507424383	118	336.2200000000	0	2017-198	18:06:02.094
0068	12.0900000000	4.9800000000	15.0000000000	36.5000000000	39.6035624785	7.9717258610	0.0452342724	-0.1985987130	34860	17.3484360947	119	336.3400000000	0	2017-198	18:06:02.094
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.5997393449	7.9654637040	0.0346613669	-0.1941389436	34859	17.3484360947	120	336.4400000000	0	2017-198	18:06:02.203
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.5920931550	7.9905123320	-0.0015891426	-0.1748129657	34859	17.3415170537	121	336.5400000000	0	2017-198	18:06:02.391
0068	12.0300000000	4.9800000000	15.0000000000	36.0000000000	39.5920931550	7.9905123320	-0.0725821804	-0.0633070825	34859	17.3392107033	122	336.6500000000	0	2017-198	18:06:02.391
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.5882700989	8.0030366460	-0.2221313483	0.3471792397	34858	17.3392107033	123	336.8100000000	0	2017-198	18:06:02.562
0068	12.1200000000	4.9800000000	14.9700000000	36.5000000000	39.6073856378	8.0218231170	-0.3580976605	0.8248788653	34858	17.3438234024	124	336.9500000000	0	2017-198	18:06:02.703
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.5997393449	8.0218231170	-0.4457267147	1.1837278902	34858	17.3507424383	125	337.0500000000	0	2017-198	18:06:02.796
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.5844470688	8.0343474310	-0.5499815239	1.7245623529	34858	17.3576614592	126	337.2100000000	0	2017-198	18:06:02.968
0068	12.0000000000	4.9800000000	14.9700000000	36.0000000000	39.5806240645	8.0468717450	-0.6058891641	2.1584080742	34858	17.3484360947	127	337.3500000000	0	2017-198	18:06:03.108
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5768010860	8.0468717450	-0.6149554579	2.3761716545	34857	17.3369043511	128	337.4500000000	0	2017-198	18:06:03.311
0068	12.0300000000	4.9500000000	14.9700000000	36.0000000000	39.5806240645	8.0656582160	-0.5983339598	2.5238694821	34857	17.3299852841	129	337.5600000000	0	2017-198	18:06:03.311
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.5768010860	8.0719203730	-0.5197620171	2.5716164542	34857	17.3253725639	130	337.7200000000	0	2017-198	18:06:03.483
