RO-05P0, Time, 2017/07/12 03:07:58
RO-05P0, Operator, Smith 
RO-05P0, Lamp, 255 
RO-05P0, Slit,0.0  
RO-05P0, Scan From, 850.0nm
RO-05P0, Scan To, 390.0nm
RO-05P0, Scan Step, 1.0nm
RO-05P0, Sample Filter, 11
RO-05P0, memo,  
RO-05P0, 720.0, -0.0006, 100.13
RO-05P0, 721.0, -0.0006, 100.13
RO-05P0, 722.0, -0.0006, 100.14
RO-05P0, 723.0, -0.0006, 100.14
RO-05P0, 724.0, -0.0005, 100.13
RO-05P0, 725.0, -0.0006, 100.15
RO-05P0, 726.0, -0.0005, 100.13
RO-05P0, 727.0, -0.0006, 100.13
RO-05P0, 728.0, -0.0006, 100.14
RO-05P0, 729.0, -0.0006, 100.14
RO-05P0, 730.0, -0.0006, 100.14
RO-05P0, 731.0, -0.0006, 100.13
RO-05P0, 732.0, -0.0005, 100.12
RO-05P0, 733.0, -0.0006, 100.13
RO-05P0, 734.0, -0.0005, 100.11
RO-05P0, 735.0, -0.0006, 100.13
RO-05P0, 736.0, -0.0005, 100.12
RO-05P0, 737.0, -0.0006, 100.13
RO-05P0, 738.0, -0.0005, 100.11
RO-05P0, 739.0, -0.0004, 100.10
RO-05P0, 740.0, -0.0005, 100.12
RO-05P0, 741.0, -0.0005, 100.12
RO-05P0, 742.0, -0.0005, 100.11
RO-05P0, 743.0, -0.0005, 100.13
RO-05P0, 744.0, -0.0005, 100.12
RO-05P0, 745.0, -0.0006, 100.14
RO-05P0, 746.0, -0.0006, 100.13
RO-05P0, 747.0, -0.0006, 100.14
RO-05P0, 748.0, -0.0006, 100.14
RO-05P0, 749.0, -0.0007, 100.15
RO-05P0, 750.0, -0.0007, 100.16
RO-05P0, 751.0, -0.0006, 100.14
RO-05P0, 752.0, -0.0006, 100.14
RO-05P0, 753.0, -0.0006, 100.15
RO-05P0, 754.0, -0.0006, 100.15
RO-05P0, 755.0, -0.0007, 100.15
RO-05P0, 756.0, -0.0007, 100.16
RO-05P0, 757.0, -0.0007, 100.15
RO-05P0, 758.0, -0.0006, 100.15
RO-05P0, 759.0, -0.0007, 100.17
RO-05P0, 760.0, -0.0007, 100.16
RO-05P0, 761.0, -0.0007, 100.15
RO-05P0, 762.0, -0.0007, 100.16
RO-05P0, 763.0, -0.0006, 100.15
RO-05P0, 764.0, -0.0007, 100.16
RO-05P0, 765.0, -0.0008, 100.18
RO-05P0, 766.0, -0.0007, 100.17
RO-05P0, 767.0, -0.0008, 100.18
RO-05P0, 768.0, -0.0008, 100.19
RO-05P0, 769.0, -0.0007, 100.17
RO-05P0, 770.0, -0.0008, 100.18
RO-05P0, 771.0, -0.0007, 100.15
RO-05P0, 772.0, -0.0007, 100.17
RO-05P0, 773.0, -0.0007, 100.16
RO-05P0, 774.0, -0.0007, 100.17
RO-05P0, 775.0, -0.0007, 100.16
RO-05P0, 776.0, -0.0007, 100.16
RO-05P0, 777.0, -0.0007, 100.17
RO-05P0, 778.0, -0.0007, 100.16
RO-05P0, 779.0, -0.0007, 100.15
RO-05P0, 780.0, -0.0007, 100.16
RO-05P0, 781.0, -0.0007, 100.17
RO-05P0, 782.0, -0.0008, 100.18
RO-05P0, 783.0, -0.0007, 100.17
RO-05P0, 784.0, -0.0008, 100.17
RO-05P0, 785.0, -0.0008, 100.18
RO-05P0, 786.0, -0.0008, 100.18
RO-05P0, 787.0, -0.0008, 100.19
RO-05P0, 788.0, -0.0008, 100.19
RO-05P0, 789.0, -0.0008, 100.19
RO-05P0, 790.0, -0.0009, 100.20
RO-05P0, 791.0, -0.0009, 100.20
RO-05P0, 792.0, -0.0008, 100.19
RO-05P0, 793.0, -0.0009, 100.20
RO-05P0, 794.0, -0.0009, 100.20
RO-05P0, 795.0, -0.0008, 100.19
RO-05P0, 796.0, -0.0008, 100.17
RO-05P0, 797.0, -0.0008, 100.18
RO-05P0, 798.0, -0.0008, 100.19
RO-05P0, 799.0, -0.0009, 100.20
RO-05P0, 800.0, -0.0008, 100.19
RO-05P0, 801.0, -0.0008, 100.19
RO-05P0, 802.0, -0.0009, 100.20
RO-05P0, 803.0, -0.0008, 100.18
RO-05P0, 804.0, -0.0008, 100.19
RO-05P0, 805.0, -0.0008, 100.19
RO-05P0, 806.0, -0.0008, 100.19
RO-05P0, 807.0, -0.0009, 100.20
RO-05P0, 808.0, -0.0008, 100.19
RO-05P0, 809.0, -0.0008, 100.19
RO-05P0, 810.0, -0.0008, 100.18
RO-05P0, 811.0, -0.0008, 100.19
RO-05P0, 812.0, -0.0008, 100.19
RO-05P0, 813.0, -0.0008, 100.19
RO-05P0, 814.0, -0.0009, 100.21
RO-05P0, 815.0, -0.0009, 100.20
RO-05P0, 816.0, -0.0009, 100.20
RO-05P0, 817.0, -0.0009, 100.20
RO-05P0, 818.0, -0.0008, 100.19
RO-05P0, 819.0, -0.0008, 100.18
RO-05P0, 820.0, -0.0007, 100.17
RO-05P0, 821.0, -0.0008, 100.17
RO-05P0, 822.0, -0.0007, 100.17
RO-05P0, 823.0, -0.0008, 100.17
RO-05P0, 824.0, -0.0008, 100.18
RO-05P0, 825.0, -0.0007, 100.16
RO-05P0, 826.0, -0.0007, 100.16
RO-05P0, 827.0, -0.0007, 100.17
RO-05P0, 828.0, -0.0007, 100.17
RO-05P0, 829.0, -0.0007, 100.17
RO-05P0, 830.0, -0.0006, 100.14
RO-05P0, 831.0, -0.0006, 100.14
RO-05P0, 832.0, -0.0005, 100.12
RO-05P0, 833.0, -0.0005, 100.11
RO-05P0, 834.0, -0.0006, 100.13
RO-05P0, 835.0, -0.0006, 100.14
RO-05P0, 836.0, -0.0006, 100.15
RO-05P0, 837.0, -0.0007, 100.15
RO-05P0, 838.0, -0.0007, 100.15
RO-05P0, 839.0, -0.0006, 100.15
RO-05P0, 840.0, -0.0007, 100.15
RO-05P0, 841.0, -0.0007, 100.15
RO-05P0, 842.0, -0.0007, 100.16
RO-05P0, 843.0, -0.0006, 100.15
RO-05P0, 844.0, -0.0006, 100.15
RO-05P0, 845.0, -0.0006, 100.13
RO-05P0, 846.0, -0.0007, 100.16
RO-05P0, 847.0, -0.0006, 100.13
RO-05P0, 848.0, -0.0006, 100.14
RO-05P0, 849.0, -0.0005, 100.13
RO-05P0, 850.0, -0.0006, 100.14
